"","species","min_depth","max_depth","min_lat","max_lat","min_long","max_long","mid_depth","bathy_range","mid_lat","lat_range","mid_lon","long_range"
"1","Abyssopathes lyra",2050,5772.36,-67.916672,36.17,-173,178,3911.18,3722.36,-15.873336,104.086672,2.5,351
"2","Alternatipathes alternata",182,5089,-70.333328,56.350281,-174.5176,178.421997,2635.5,4907,-6.9915235,126.683609,1.95219850000001,352.939597
"3","Antipathella fiordensis",2.5,514,-46.053333,-35.208,166.580994,175.460663,258.25,511.5,-40.6306665,10.845333,171.0208285,8.87966900000001
"4","Antipathes curvata",12,604,-18.68833,26.5,-174.070007,147.272552,308,592,3.905835,45.18833,-13.3987275,321.342559
"5","Antipathes dendrochristos",96,404.2,22.75,37.790421,-160.93,-119.139999,250.1,308.2,30.2702105,15.040421,-140.0349995,41.790001
"6","Antipathes densa",34,479,-37.4698,34.555,126.559998,177.22,256.5,445,-1.4574,72.0248,151.889999,50.660002
"7","Antipathes flabellum",3.5,530,-34.624,26.5067,120.74,168.959,266.75,526.5,-4.05865,61.1307,144.8495,48.219
"8","Antipathes galapagensis",7.62,293,-5.991389,29.7875,-114.400002,-81.299978,150.31,285.38,11.8980555,35.778889,-97.84999,33.100024
"9","Antipathes gracilis",79,1174,-39.333332,-28.965,-178.571701,178.188339,626.5,1095,-34.149166,10.368332,-0.191680999999988,356.76004
"10","Antipathes grandis",5,455,-18.68,21.87615,-174.050003,167.569304,230,450,1.598075,40.55615,-3.24034950000001,341.619307
"11","Antipathes pauroclema",6,270,-34.66,35.198069,127.848,173.024833,138,264,0.2690345,69.858069,150.4364165,45.176833
"12","Antipathes sarothrum",10,693,-36.8337,26.5067,-178.932,177.466,351.5,683,-5.1635,63.3404,-0.73299999999999,356.398
"13","Antipathes sibogae",3,130,-17.477889,26.5067,-149.879769,145.222,66.5,127,4.5144055,43.984589,-2.3288845,295.101769
"14","Antipathes simplex",6,567,1.635075,26.5067,118.659721,127.877,286.5,561,14.0708875,24.871625,123.2683605,9.21727899999999
"15","Bathypathes patula",273,5303.52,-68.120833,59.04833,-179.931833,178.625167,2788.26,5030.52,-4.5362515,127.169163,-0.653333000000003,358.557
"16","Chrysopathes speciosa",196,1400,36.31524,59.33955,-174.00515,-122.1315,798,1204,47.827395,23.02431,-148.068325,51.87365
"17","Cirrhipathes anguina",3,381,-18.68833,33.223106,-174.070007,179.053986,192,378,7.267388,51.911436,2.4919895,353.123993
"18","Cirrhipathes spiralis",5,2075,-32.5937,35.3,-169.5683,169.568298,1040,2070,1.35315,67.8937,-9.99999997475243e-07,339.136598
"19","Cupressopathes abies",17,73,-28.608584,26.5067,119.125,153.646657,45,56,-1.050942,55.115284,136.3858285,34.521657
"20","Dendropathes intermedia",15,1250,-51.043167,36,-160.021,178.468308,632.5,1235,-7.5215835,87.043167,9.22365400000001,338.489308
"21","Leiopathes acanthophora",256.5,1608,-44.516667,-33.754334,-179.9245,179.9833,932.25,1351.5,-39.1355005,10.762333,0.0294000000000096,359.9078
"22","Leiopathes secunda",610,1200,-48.8,-33.696667,-179.987667,179.431333,905,590,-41.2483335,15.103333,-0.278166999999996,359.419
"23","Lillipathes lillei",70,912,-68.088667,54.75205,-179.298667,177.195801,491,842,-6.6683085,122.840717,-1.051433,356.494468
"24","Lillipathes wingi",371.5,3179.3,42.603,57.64083,-148.53,-124.684956,1775.4,2807.8,50.121915,15.03783,-136.607478,23.845044
"25","Myriopathes bifaria",5,150,1.751667,35.26645,120.988892,139.40458,77.5,145,18.5090585,33.514783,130.196736,18.415688
"26","Myriopathes japonica",5,350,-32.6067,33.301217,123.018333,167.51,177.5,345,0.347258500000002,65.907917,145.2641665,44.491667
"27","Myriopathes myriophylla",3.5,390,-30.179167,31.25,-178.5705,178.522333,196.75,386.5,0.5354165,61.429167,-0.0240835000000033,357.092833
"28","Myriopathes panamensis",6.5,146,-1.466667,24.139999,-110.309998,-78.699997,76.25,139.5,11.336666,25.606666,-94.5049975,31.610001
"29","Myriopathes ulex",10,457,-31.4317,33.225503,-178.931702,169.405,233.5,447,0.896901500000002,64.657203,-4.763351,348.336702
"30","Parantipathes helicosticha",335,1469.5,-76.525,-28.8535,147.458,178.421997,902.25,1134.5,-52.68925,47.6715,162.9399985,30.963997
"31","pseudocirrhipathes mapia",32,457,-8.4152,26.71,-171.876,127.877,244.5,425,9.1474,35.1252,-21.9995,299.753
"32","Rhipidipathes reticulata",3.5,215,-10.633,26.5,120.445,162.334396,109.25,211.5,7.9335,37.133,141.389698,41.889396
"33","Schizopathes affinis",1576,4923,-61.400002,35.552,-129.9,166.518,3249.5,3347,-12.924001,96.952002,18.309,296.418
"34","Stauropathes staurocrada",11,1941,-53.75,26.22848,-174.51463,167.866,976,1930,-13.76076,79.97848,-3.324315,342.38063
"35","Stichopathes spiessi",365,1802.32,-37.418301,32.46,-166.699997,177.334,1083.66,1437.32,-2.4791505,69.878301,5.3170015,344.033997
"36","Stichopathes variabilis",18,1080.5,-38.445,33.9946,-179.0205,177.348831,549.25,1062.5,-2.2252,72.4396,-0.835834500000004,356.369331
"37","Stylopathes columnaris",150,1174,-74.166667,15.16,-178.350006,177.8385,662,1024,-29.5033335,89.326667,-0.255752999999999,356.188506
"38","Stylopathes tenuispina",82,1080.5,-37.474667,16.51,120.184998,177.348831,581.25,998.5,-10.4823335,53.984667,148.7669145,57.163833
"39","Trissopathes pseudotristicha",227,2730,-36.5,56.3694,-167.817,176.515,1478.5,2503,9.9347,92.8694,4.34899999999999,344.332
"40","Trissopathes tetracrada",375,2316.6,-44.080002,35.6554,-158.28,166.012,1345.8,1941.6,-4.212301,79.735402,3.866,324.292
"41","Trissopathes tristicha",236,2355,-53.729,25.6266,-177.733333,179.046997,1295.5,2119,-14.0512,79.3556,0.656832000000009,356.78033
