"","y","rich_2d","max_rich","richness_lat"
"1",-74.5,1,1,1
"2",-73.5,1,1,2
"3",-72.5,1,1,2
"4",-71.5,1,1,2
"5",-70.5,1,1,2
"6",-69.5,1,1,3
"7",-68.5,1,1,3
"8",-67.5,2,2,5
"9",-66.5,2,3,6
"10",-65.5,2,3,6
"11",-64.5,3,3,6
"12",-63.5,3,3,6
"13",-62.5,3,3,6
"14",-61.5,3,3,6
"15",-60.5,3,4,7
"16",-59.5,4,4,7
"17",-58.5,4,4,7
"18",-57.5,4,4,7
"19",-56.5,4,4,7
"20",-55.5,4,4,7
"21",-54.5,4,4,7
"22",-53.5,4,4,7
"23",-52.5,4,4,9
"24",-51.5,4,4,9
"25",-50.5,4,4,10
"26",-49.5,4,5,10
"27",-48.5,4,5,11
"28",-47.5,4,6,11
"29",-46.5,4,6,11
"30",-45.5,4,6,12
"31",-44.5,4,7,12
"32",-43.5,6,8,14
"33",-42.5,6,8,14
"34",-41.5,6,8,14
"35",-40.5,7,8,14
"36",-39.5,7,9,14
"37",-38.5,7,11,15
"38",-37.5,8,12,16
"39",-36.5,8,14,21
"40",-35.5,11,15,21
"41",-34.5,10,14,21
"42",-33.5,6,14,19
"43",-32.5,10,16,21
"44",-31.5,7,16,22
"45",-30.5,6,15,23
"46",-29.5,7,15,23
"47",-28.5,7,16,23
"48",-27.5,10,16,22
"49",-26.5,9,16,22
"50",-25.5,9,16,23
"51",-24.5,10,16,22
"52",-23.5,10,17,22
"53",-22.5,8,16,22
"54",-21.5,9,15,22
"55",-20.5,9,15,22
"56",-19.5,10,15,22
"57",-18.5,9,16,25
"58",-17.5,8,16,26
"59",-16.5,7,16,25
"60",-15.5,6,16,25
"61",-14.5,7,16,25
"62",-13.5,8,18,25
"63",-12.5,7,18,25
"64",-11.5,7,18,25
"65",-10.5,11,18,25
"66",-9.5,10,18,27
"67",-8.5,10,19,26
"68",-7.5,11,19,27
"69",-6.5,14,19,28
"70",-5.5,9,19,28
"71",-4.5,11,19,28
"72",-3.5,7,19,28
"73",-2.5,9,19,29
"74",-1.5,9,20,29
"75",-0.5,6,20,30
"76",0.5,8,20,30
"77",1.5,7,21,31
"78",2.5,5,21,32
"79",3.5,5,21,32
"80",4.5,7,20,32
"81",5.5,10,21,32
"82",6.5,6,21,32
"83",7.5,7,21,32
"84",8.5,13,21,32
"85",9.5,7,20,33
"86",10.5,6,21,32
"87",11.5,7,20,32
"88",12.5,9,20,32
"89",13.5,5,20,32
"90",14.5,5,20,31
"91",15.5,4,19,31
"92",16.5,6,17,30
"93",17.5,5,17,30
"94",18.5,6,16,30
"95",19.5,6,16,30
"96",20.5,8,15,31
"97",21.5,6,15,30
"98",22.5,5,15,29
"99",23.5,5,15,29
"100",24.5,4,15,29
"101",25.5,6,14,28
"102",26.5,4,11,21
"103",27.5,4,11,21
"104",28.5,5,10,21
"105",29.5,4,9,20
"106",30.5,5,9,18
"107",31.5,5,8,16
"108",32.5,5,5,16
"109",33.5,3,5,12
"110",34.5,3,5,12
"111",35.5,3,4,6
"112",36.5,2,4,5
"113",37.5,2,3,5
"114",38.5,2,3,4
"115",39.5,2,4,5
"116",40.5,3,4,4
"117",41.5,2,4,4
"118",42.5,2,4,4
"119",43.5,2,4,5
"120",44.5,3,4,5
"121",45.5,3,4,5
"122",46.5,3,4,5
"123",47.5,3,4,5
"124",48.5,2,4,5
"125",49.5,2,5,5
"126",50.5,4,5,5
"127",51.5,2,5,5
"128",52.5,2,5,5
"129",53.5,2,5,5
"130",54.5,2,5,5
"131",55.5,2,4,5
"132",56.5,2,3,3
"133",57.5,1,2,2
"134",58.5,1,2,2
