,x,rich_2d,max_rich,richness_long,x_adjust
104,-76.5,1,1,1,7.5
103,-77.5,1,1,1,8.5
102,-78.5,1,1,1,9.5
101,-79.5,1,1,2,10.5
100,-80.5,1,1,2,11.5
99,-81.5,1,1,3,12.5
98,-82.5,1,1,3,13.5
97,-83.5,1,1,3,14.5
96,-84.5,1,1,3,15.5
95,-85.5,1,2,3,16.5
94,-86.5,1,2,3,17.5
93,-87.5,1,3,3,18.5
92,-88.5,2,3,5,19.5
91,-89.5,3,3,5,20.5
90,-90.5,3,3,5,21.5
89,-91.5,3,3,5,22.5
88,-92.5,3,3,5,23.5
87,-93.5,3,3,5,24.5
86,-94.5,3,3,5,25.5
85,-95.5,3,3,5,26.5
84,-96.5,3,3,5,27.5
83,-97.5,3,3,5,28.5
82,-98.5,3,3,5,29.5
81,-99.5,3,3,5,30.5
80,-100.5,3,3,5,31.5
79,-101.5,3,3,5,32.5
78,-102.5,4,4,6,33.5
77,-103.5,4,4,6,34.5
76,-104.5,4,4,6,35.5
75,-105.5,4,4,6,36.5
74,-106.5,4,4,6,37.5
73,-107.5,4,4,6,38.5
72,-108.5,4,4,6,39.5
71,-109.5,4,4,6,40.5
70,-110.5,4,4,5,41.5
69,-111.5,4,4,5,42.5
68,-112.5,4,4,5,43.5
67,-113.5,4,4,5,44.5
66,-114.5,4,4,4,45.5
65,-115.5,4,4,4,46.5
64,-116.5,4,4,4,47.5
63,-117.5,4,4,4,48.5
62,-118.5,4,4,4,49.5
61,-119.5,4,4,4,50.5
60,-120.5,4,4,5,51.5
59,-121.5,4,4,6,52.5
58,-122.5,4,4,7,53.5
57,-123.5,4,4,8,54.5
56,-124.5,4,5,9,55.5
55,-125.5,4,5,10,56.5
54,-126.5,4,5,10,57.5
53,-127.5,4,5,10,58.5
52,-128.5,4,6,10,59.5
51,-129.5,4,6,10,60.5
50,-130.5,4,6,10,61.5
49,-131.5,4,6,10,62.5
48,-132.5,4,6,10,63.5
47,-133.5,4,6,10,64.5
46,-134.5,4,6,10,65.5
45,-135.5,4,6,10,66.5
44,-136.5,4,6,10,67.5
43,-137.5,4,6,10,68.5
42,-138.5,4,6,10,69.5
41,-139.5,4,6,11,70.5
40,-140.5,4,6,10,71.5
39,-141.5,4,6,10,72.5
38,-142.5,4,6,10,73.5
37,-143.5,4,6,10,74.5
36,-144.5,4,6,10,75.5
35,-145.5,4,7,10,76.5
34,-146.5,4,7,11,77.5
33,-147.5,4,7,10,78.5
32,-148.5,4,7,9,79.5
31,-149.5,4,7,9,80.5
30,-150.5,4,7,10,81.5
29,-151.5,4,7,9,82.5
28,-152.5,4,7,9,83.5
27,-153.5,4,7,10,84.5
26,-154.5,4,7,9,85.5
25,-155.5,5,12,14,86.5
24,-156.5,8,13,16,87.5
23,-157.5,6,13,15,88.5
22,-158.5,5,13,15,89.5
21,-159.5,5,13,14,90.5
20,-160.5,5,13,18,91.5
19,-161.5,6,13,15,92.5
18,-162.5,5,13,16,93.5
17,-163.5,4,13,16,94.5
16,-164.5,5,13,17,95.5
15,-165.5,4,13,16,96.5
14,-166.5,5,13,17,97.5
13,-167.5,4,13,18,98.5
12,-168.5,6,13,17,99.5
11,-169.5,5,13,17,100.5
10,-170.5,4,13,18,101.5
9,-171.5,6,13,18,102.5
8,-172.5,9,13,17,103.5
7,-173.5,5,13,17,104.5
6,-174.5,6,13,18,105.5
5,-175.5,6,13,19,106.5
4,-176.5,6,13,18,107.5
3,-177.5,7,13,19,108.5
2,-178.5,6,13,19,109.5
1,-179.5,5,13,19,110.5
164,178.5,5,12,20,114.5
163,177.5,7,14,25,115.5
162,176.5,8,14,28,116.5
161,175.5,10,15,28,117.5
160,174.5,6,15,29,118.5
159,173.5,10,16,29,119.5
158,172.5,11,16,30,120.5
157,171.5,7,16,30,121.5
156,170.5,8,16,30,122.5
155,169.5,10,17,30,123.5
154,168.5,9,16,30,124.5
153,167.5,10,17,30,125.5
152,166.5,10,16,29,126.5
151,165.5,8,16,28,127.5
150,164.5,8,16,28,128.5
149,163.5,8,17,28,129.5
148,162.5,8,18,28,130.5
147,161.5,7,18,29,131.5
146,160.5,10,18,29,132.5
145,159.5,10,19,29,133.5
144,158.5,11,19,28,134.5
143,157.5,11,19,28,135.5
142,156.5,14,19,28,136.5
141,155.5,6,19,28,137.5
140,154.5,8,19,28,138.5
139,153.5,10,20,29,139.5
138,152.5,10,20,29,140.5
137,151.5,11,21,28,141.5
136,150.5,8,21,27,142.5
135,149.5,10,21,27,143.5
134,148.5,13,21,27,144.5
133,147.5,13,21,25,145.5
132,146.5,6,21,25,146.5
131,145.5,11,20,24,147.5
130,144.5,8,20,24,148.5
129,143.5,6,19,24,149.5
128,142.5,5,20,24,150.5
127,141.5,6,20,24,151.5
126,140.5,6,19,24,152.5
125,139.5,5,18,24,153.5
124,138.5,8,18,25,154.5
123,137.5,11,17,24,155.5
122,136.5,11,16,24,156.5
121,135.5,9,17,24,157.5
120,134.5,7,16,22,158.5
119,133.5,7,15,22,159.5
118,132.5,7,15,22,160.5
117,131.5,8,15,22,161.5
116,130.5,7,15,22,162.5
115,129.5,6,15,22,163.5
114,128.5,6,15,21,164.5
113,127.5,8,14,19,165.5
112,126.5,5,14,17,166.5
111,125.5,5,14,17,167.5
110,124.5,5,13,16,168.5
109,123.5,9,11,16,169.5
108,122.5,9,10,13,170.5
107,121.5,6,9,13,171.5
106,120.5,4,6,8,172.5
105,119.5,1,1,4,173.5
