long,long_adj,type,rich
-76.5,7.5,rich_2d,1
-76.5,7.5,max_rich,1
-76.5,7.5,richness_long,1
-77.5,8.5,rich_2d,1
-77.5,8.5,max_rich,1
-77.5,8.5,richness_long,1
-78.5,9.5,rich_2d,1
-78.5,9.5,max_rich,1
-78.5,9.5,richness_long,1
-79.5,10.5,rich_2d,1
-79.5,10.5,max_rich,1
-79.5,10.5,richness_long,2
-80.5,11.5,rich_2d,1
-80.5,11.5,max_rich,1
-80.5,11.5,richness_long,2
-81.5,12.5,rich_2d,1
-81.5,12.5,max_rich,1
-81.5,12.5,richness_long,3
-82.5,13.5,rich_2d,1
-82.5,13.5,max_rich,1
-82.5,13.5,richness_long,3
-83.5,14.5,rich_2d,1
-83.5,14.5,max_rich,1
-83.5,14.5,richness_long,3
-84.5,15.5,rich_2d,1
-84.5,15.5,max_rich,1
-84.5,15.5,richness_long,3
-85.5,16.5,rich_2d,1
-85.5,16.5,max_rich,2
-85.5,16.5,richness_long,3
-86.5,17.5,rich_2d,1
-86.5,17.5,max_rich,2
-86.5,17.5,richness_long,3
-87.5,18.5,rich_2d,1
-87.5,18.5,max_rich,3
-87.5,18.5,richness_long,3
-88.5,19.5,rich_2d,2
-88.5,19.5,max_rich,3
-88.5,19.5,richness_long,5
-89.5,20.5,rich_2d,3
-89.5,20.5,max_rich,3
-89.5,20.5,richness_long,5
-90.5,21.5,rich_2d,3
-90.5,21.5,max_rich,3
-90.5,21.5,richness_long,5
-91.5,22.5,rich_2d,3
-91.5,22.5,max_rich,3
-91.5,22.5,richness_long,5
-92.5,23.5,rich_2d,3
-92.5,23.5,max_rich,3
-92.5,23.5,richness_long,5
-93.5,24.5,rich_2d,3
-93.5,24.5,max_rich,3
-93.5,24.5,richness_long,5
-94.5,25.5,rich_2d,3
-94.5,25.5,max_rich,3
-94.5,25.5,richness_long,5
-95.5,26.5,rich_2d,3
-95.5,26.5,max_rich,3
-95.5,26.5,richness_long,5
-96.5,27.5,rich_2d,3
-96.5,27.5,max_rich,3
-96.5,27.5,richness_long,5
-97.5,28.5,rich_2d,3
-97.5,28.5,max_rich,3
-97.5,28.5,richness_long,5
-98.5,29.5,rich_2d,3
-98.5,29.5,max_rich,3
-98.5,29.5,richness_long,5
-99.5,30.5,rich_2d,3
-99.5,30.5,max_rich,3
-99.5,30.5,richness_long,5
-100.5,31.5,rich_2d,3
-100.5,31.5,max_rich,3
-100.5,31.5,richness_long,5
-101.5,32.5,rich_2d,3
-101.5,32.5,max_rich,3
-101.5,32.5,richness_long,5
-102.5,33.5,rich_2d,4
-102.5,33.5,max_rich,4
-102.5,33.5,richness_long,6
-103.5,34.5,rich_2d,4
-103.5,34.5,max_rich,4
-103.5,34.5,richness_long,6
-104.5,35.5,rich_2d,4
-104.5,35.5,max_rich,4
-104.5,35.5,richness_long,6
-105.5,36.5,rich_2d,4
-105.5,36.5,max_rich,4
-105.5,36.5,richness_long,6
-106.5,37.5,rich_2d,4
-106.5,37.5,max_rich,4
-106.5,37.5,richness_long,6
-107.5,38.5,rich_2d,4
-107.5,38.5,max_rich,4
-107.5,38.5,richness_long,6
-108.5,39.5,rich_2d,4
-108.5,39.5,max_rich,4
-108.5,39.5,richness_long,6
-109.5,40.5,rich_2d,4
-109.5,40.5,max_rich,4
-109.5,40.5,richness_long,6
-110.5,41.5,rich_2d,4
-110.5,41.5,max_rich,4
-110.5,41.5,richness_long,5
-111.5,42.5,rich_2d,4
-111.5,42.5,max_rich,4
-111.5,42.5,richness_long,5
-112.5,43.5,rich_2d,4
-112.5,43.5,max_rich,4
-112.5,43.5,richness_long,5
-113.5,44.5,rich_2d,4
-113.5,44.5,max_rich,4
-113.5,44.5,richness_long,5
-114.5,45.5,rich_2d,4
-114.5,45.5,max_rich,4
-114.5,45.5,richness_long,4
-115.5,46.5,rich_2d,4
-115.5,46.5,max_rich,4
-115.5,46.5,richness_long,4
-116.5,47.5,rich_2d,4
-116.5,47.5,max_rich,4
-116.5,47.5,richness_long,4
-117.5,48.5,rich_2d,4
-117.5,48.5,max_rich,4
-117.5,48.5,richness_long,4
-118.5,49.5,rich_2d,4
-118.5,49.5,max_rich,4
-118.5,49.5,richness_long,4
-119.5,50.5,rich_2d,4
-119.5,50.5,max_rich,4
-119.5,50.5,richness_long,4
-120.5,51.5,rich_2d,4
-120.5,51.5,max_rich,4
-120.5,51.5,richness_long,5
-121.5,52.5,rich_2d,4
-121.5,52.5,max_rich,4
-121.5,52.5,richness_long,6
-122.5,53.5,rich_2d,4
-122.5,53.5,max_rich,4
-122.5,53.5,richness_long,7
-123.5,54.5,rich_2d,4
-123.5,54.5,max_rich,4
-123.5,54.5,richness_long,8
-124.5,55.5,rich_2d,4
-124.5,55.5,max_rich,5
-124.5,55.5,richness_long,9
-125.5,56.5,rich_2d,4
-125.5,56.5,max_rich,5
-125.5,56.5,richness_long,10
-126.5,57.5,rich_2d,4
-126.5,57.5,max_rich,5
-126.5,57.5,richness_long,10
-127.5,58.5,rich_2d,4
-127.5,58.5,max_rich,5
-127.5,58.5,richness_long,10
-128.5,59.5,rich_2d,4
-128.5,59.5,max_rich,6
-128.5,59.5,richness_long,10
-129.5,60.5,rich_2d,4
-129.5,60.5,max_rich,6
-129.5,60.5,richness_long,10
-130.5,61.5,rich_2d,4
-130.5,61.5,max_rich,6
-130.5,61.5,richness_long,10
-131.5,62.5,rich_2d,4
-131.5,62.5,max_rich,6
-131.5,62.5,richness_long,10
-132.5,63.5,rich_2d,4
-132.5,63.5,max_rich,6
-132.5,63.5,richness_long,10
-133.5,64.5,rich_2d,4
-133.5,64.5,max_rich,6
-133.5,64.5,richness_long,10
-134.5,65.5,rich_2d,4
-134.5,65.5,max_rich,6
-134.5,65.5,richness_long,10
-135.5,66.5,rich_2d,4
-135.5,66.5,max_rich,6
-135.5,66.5,richness_long,10
-136.5,67.5,rich_2d,4
-136.5,67.5,max_rich,6
-136.5,67.5,richness_long,10
-137.5,68.5,rich_2d,4
-137.5,68.5,max_rich,6
-137.5,68.5,richness_long,10
-138.5,69.5,rich_2d,4
-138.5,69.5,max_rich,6
-138.5,69.5,richness_long,10
-139.5,70.5,rich_2d,4
-139.5,70.5,max_rich,6
-139.5,70.5,richness_long,11
-140.5,71.5,rich_2d,4
-140.5,71.5,max_rich,6
-140.5,71.5,richness_long,10
-141.5,72.5,rich_2d,4
-141.5,72.5,max_rich,6
-141.5,72.5,richness_long,10
-142.5,73.5,rich_2d,4
-142.5,73.5,max_rich,6
-142.5,73.5,richness_long,10
-143.5,74.5,rich_2d,4
-143.5,74.5,max_rich,6
-143.5,74.5,richness_long,10
-144.5,75.5,rich_2d,4
-144.5,75.5,max_rich,6
-144.5,75.5,richness_long,10
-145.5,76.5,rich_2d,4
-145.5,76.5,max_rich,7
-145.5,76.5,richness_long,10
-146.5,77.5,rich_2d,4
-146.5,77.5,max_rich,7
-146.5,77.5,richness_long,11
-147.5,78.5,rich_2d,4
-147.5,78.5,max_rich,7
-147.5,78.5,richness_long,10
-148.5,79.5,rich_2d,4
-148.5,79.5,max_rich,7
-148.5,79.5,richness_long,9
-149.5,80.5,rich_2d,4
-149.5,80.5,max_rich,7
-149.5,80.5,richness_long,9
-150.5,81.5,rich_2d,4
-150.5,81.5,max_rich,7
-150.5,81.5,richness_long,10
-151.5,82.5,rich_2d,4
-151.5,82.5,max_rich,7
-151.5,82.5,richness_long,9
-152.5,83.5,rich_2d,4
-152.5,83.5,max_rich,7
-152.5,83.5,richness_long,9
-153.5,84.5,rich_2d,4
-153.5,84.5,max_rich,7
-153.5,84.5,richness_long,10
-154.5,85.5,rich_2d,4
-154.5,85.5,max_rich,7
-154.5,85.5,richness_long,9
-155.5,86.5,rich_2d,5
-155.5,86.5,max_rich,12
-155.5,86.5,richness_long,14
-156.5,87.5,rich_2d,8
-156.5,87.5,max_rich,13
-156.5,87.5,richness_long,16
-157.5,88.5,rich_2d,6
-157.5,88.5,max_rich,13
-157.5,88.5,richness_long,15
-158.5,89.5,rich_2d,5
-158.5,89.5,max_rich,13
-158.5,89.5,richness_long,15
-159.5,90.5,rich_2d,5
-159.5,90.5,max_rich,13
-159.5,90.5,richness_long,14
-160.5,91.5,rich_2d,5
-160.5,91.5,max_rich,13
-160.5,91.5,richness_long,18
-161.5,92.5,rich_2d,6
-161.5,92.5,max_rich,13
-161.5,92.5,richness_long,15
-162.5,93.5,rich_2d,5
-162.5,93.5,max_rich,13
-162.5,93.5,richness_long,16
-163.5,94.5,rich_2d,4
-163.5,94.5,max_rich,13
-163.5,94.5,richness_long,16
-164.5,95.5,rich_2d,5
-164.5,95.5,max_rich,13
-164.5,95.5,richness_long,17
-165.5,96.5,rich_2d,4
-165.5,96.5,max_rich,13
-165.5,96.5,richness_long,16
-166.5,97.5,rich_2d,5
-166.5,97.5,max_rich,13
-166.5,97.5,richness_long,17
-167.5,98.5,rich_2d,4
-167.5,98.5,max_rich,13
-167.5,98.5,richness_long,18
-168.5,99.5,rich_2d,6
-168.5,99.5,max_rich,13
-168.5,99.5,richness_long,17
-169.5,100.5,rich_2d,5
-169.5,100.5,max_rich,13
-169.5,100.5,richness_long,17
-170.5,101.5,rich_2d,4
-170.5,101.5,max_rich,13
-170.5,101.5,richness_long,18
-171.5,102.5,rich_2d,6
-171.5,102.5,max_rich,13
-171.5,102.5,richness_long,18
-172.5,103.5,rich_2d,9
-172.5,103.5,max_rich,13
-172.5,103.5,richness_long,17
-173.5,104.5,rich_2d,5
-173.5,104.5,max_rich,13
-173.5,104.5,richness_long,17
-174.5,105.5,rich_2d,6
-174.5,105.5,max_rich,13
-174.5,105.5,richness_long,18
-175.5,106.5,rich_2d,6
-175.5,106.5,max_rich,13
-175.5,106.5,richness_long,19
-176.5,107.5,rich_2d,6
-176.5,107.5,max_rich,13
-176.5,107.5,richness_long,18
-177.5,108.5,rich_2d,7
-177.5,108.5,max_rich,13
-177.5,108.5,richness_long,19
-178.5,109.5,rich_2d,6
-178.5,109.5,max_rich,13
-178.5,109.5,richness_long,19
-179.5,110.5,rich_2d,5
-179.5,110.5,max_rich,13
-179.5,110.5,richness_long,19
178.5,114.5,rich_2d,5
178.5,114.5,max_rich,12
178.5,114.5,richness_long,20
177.5,115.5,rich_2d,7
177.5,115.5,max_rich,14
177.5,115.5,richness_long,25
176.5,116.5,rich_2d,8
176.5,116.5,max_rich,14
176.5,116.5,richness_long,28
175.5,117.5,rich_2d,10
175.5,117.5,max_rich,15
175.5,117.5,richness_long,28
174.5,118.5,rich_2d,6
174.5,118.5,max_rich,15
174.5,118.5,richness_long,29
173.5,119.5,rich_2d,10
173.5,119.5,max_rich,16
173.5,119.5,richness_long,29
172.5,120.5,rich_2d,11
172.5,120.5,max_rich,16
172.5,120.5,richness_long,30
171.5,121.5,rich_2d,7
171.5,121.5,max_rich,16
171.5,121.5,richness_long,30
170.5,122.5,rich_2d,8
170.5,122.5,max_rich,16
170.5,122.5,richness_long,30
169.5,123.5,rich_2d,10
169.5,123.5,max_rich,17
169.5,123.5,richness_long,30
168.5,124.5,rich_2d,9
168.5,124.5,max_rich,16
168.5,124.5,richness_long,30
167.5,125.5,rich_2d,10
167.5,125.5,max_rich,17
167.5,125.5,richness_long,30
166.5,126.5,rich_2d,10
166.5,126.5,max_rich,16
166.5,126.5,richness_long,29
165.5,127.5,rich_2d,8
165.5,127.5,max_rich,16
165.5,127.5,richness_long,28
164.5,128.5,rich_2d,8
164.5,128.5,max_rich,16
164.5,128.5,richness_long,28
163.5,129.5,rich_2d,8
163.5,129.5,max_rich,17
163.5,129.5,richness_long,28
162.5,130.5,rich_2d,8
162.5,130.5,max_rich,18
162.5,130.5,richness_long,28
161.5,131.5,rich_2d,7
161.5,131.5,max_rich,18
161.5,131.5,richness_long,29
160.5,132.5,rich_2d,10
160.5,132.5,max_rich,18
160.5,132.5,richness_long,29
159.5,133.5,rich_2d,10
159.5,133.5,max_rich,19
159.5,133.5,richness_long,29
158.5,134.5,rich_2d,11
158.5,134.5,max_rich,19
158.5,134.5,richness_long,28
157.5,135.5,rich_2d,11
157.5,135.5,max_rich,19
157.5,135.5,richness_long,28
156.5,136.5,rich_2d,14
156.5,136.5,max_rich,19
156.5,136.5,richness_long,28
155.5,137.5,rich_2d,6
155.5,137.5,max_rich,19
155.5,137.5,richness_long,28
154.5,138.5,rich_2d,8
154.5,138.5,max_rich,19
154.5,138.5,richness_long,28
153.5,139.5,rich_2d,10
153.5,139.5,max_rich,20
153.5,139.5,richness_long,29
152.5,140.5,rich_2d,10
152.5,140.5,max_rich,20
152.5,140.5,richness_long,29
151.5,141.5,rich_2d,11
151.5,141.5,max_rich,21
151.5,141.5,richness_long,28
150.5,142.5,rich_2d,8
150.5,142.5,max_rich,21
150.5,142.5,richness_long,27
149.5,143.5,rich_2d,10
149.5,143.5,max_rich,21
149.5,143.5,richness_long,27
148.5,144.5,rich_2d,13
148.5,144.5,max_rich,21
148.5,144.5,richness_long,27
147.5,145.5,rich_2d,13
147.5,145.5,max_rich,21
147.5,145.5,richness_long,25
146.5,146.5,rich_2d,6
146.5,146.5,max_rich,21
146.5,146.5,richness_long,25
145.5,147.5,rich_2d,11
145.5,147.5,max_rich,20
145.5,147.5,richness_long,24
144.5,148.5,rich_2d,8
144.5,148.5,max_rich,20
144.5,148.5,richness_long,24
143.5,149.5,rich_2d,6
143.5,149.5,max_rich,19
143.5,149.5,richness_long,24
142.5,150.5,rich_2d,5
142.5,150.5,max_rich,20
142.5,150.5,richness_long,24
141.5,151.5,rich_2d,6
141.5,151.5,max_rich,20
141.5,151.5,richness_long,24
140.5,152.5,rich_2d,6
140.5,152.5,max_rich,19
140.5,152.5,richness_long,24
139.5,153.5,rich_2d,5
139.5,153.5,max_rich,18
139.5,153.5,richness_long,24
138.5,154.5,rich_2d,8
138.5,154.5,max_rich,18
138.5,154.5,richness_long,25
137.5,155.5,rich_2d,11
137.5,155.5,max_rich,17
137.5,155.5,richness_long,24
136.5,156.5,rich_2d,11
136.5,156.5,max_rich,16
136.5,156.5,richness_long,24
135.5,157.5,rich_2d,9
135.5,157.5,max_rich,17
135.5,157.5,richness_long,24
134.5,158.5,rich_2d,7
134.5,158.5,max_rich,16
134.5,158.5,richness_long,22
133.5,159.5,rich_2d,7
133.5,159.5,max_rich,15
133.5,159.5,richness_long,22
132.5,160.5,rich_2d,7
132.5,160.5,max_rich,15
132.5,160.5,richness_long,22
131.5,161.5,rich_2d,8
131.5,161.5,max_rich,15
131.5,161.5,richness_long,22
130.5,162.5,rich_2d,7
130.5,162.5,max_rich,15
130.5,162.5,richness_long,22
129.5,163.5,rich_2d,6
129.5,163.5,max_rich,15
129.5,163.5,richness_long,22
128.5,164.5,rich_2d,6
128.5,164.5,max_rich,15
128.5,164.5,richness_long,21
127.5,165.5,rich_2d,8
127.5,165.5,max_rich,14
127.5,165.5,richness_long,19
126.5,166.5,rich_2d,5
126.5,166.5,max_rich,14
126.5,166.5,richness_long,17
125.5,167.5,rich_2d,5
125.5,167.5,max_rich,14
125.5,167.5,richness_long,17
124.5,168.5,rich_2d,5
124.5,168.5,max_rich,13
124.5,168.5,richness_long,16
123.5,169.5,rich_2d,9
123.5,169.5,max_rich,11
123.5,169.5,richness_long,16
122.5,170.5,rich_2d,9
122.5,170.5,max_rich,10
122.5,170.5,richness_long,13
121.5,171.5,rich_2d,6
121.5,171.5,max_rich,9
121.5,171.5,richness_long,13
120.5,172.5,rich_2d,4
120.5,172.5,max_rich,6
120.5,172.5,richness_long,8
119.5,173.5,rich_2d,1
119.5,173.5,max_rich,1
119.5,173.5,richness_long,4
